"";"game_id";"player_id";"role";"prey_type";"score";"fate";"killed_by";"reproduced_with";"prey_detected";"pred_detected";"comment";"diet"
"156";7;"nf";"prey";"blue";10;"killed";"";"";NA;NA;"";"generalist"
"157";7;"mlsp";"prey";"red";18;"killed";"";"";NA;NA;"";"generalist"
"158";7;"ma";"prey";"blue";25;"killed";"dg";"";NA;NA;"";"generalist"
"159";7;"ir";"prey";"red";0;"killed";"";"";NA;NA;"";NA
"160";7;"fdb";"prey";"red";16;"killed";"";"";NA;4;"";"generalist"
"161";7;"cc";"prey";"red";6;"killed";"";"";NA;NA;"";"generalist"
"162";6;"fdb";"prey";"red";60;"survived";"cc";"";NA;3;"";"generalist"
"163";7;"aa";"prey";"red";5;"killed";"";"";NA;NA;"";"specialist"
"164";7;"rd";"meso";"";1;"killed";"dg";"";4;NA;"";NA
"165";7;"mwb";"prey";"blue";25;"starved";"";"";NA;4;"";"specialist"
"166";7;"gb1";"prey";"red";53;"survived";"";"";NA;NA;"I was at patch 26 instead on 27";"generalist"
"167";7;"em";"prey";"blue";20;"killed";"";"";NA;7;"";"specialist"
"168";7;"cm";"meso";"";3;"survived";"";"";NA;5;"";NA
"169";7;"sg";"prey";"blue";30;"survived";"";"";NA;NA;"";"specialist"
"170";7;"fb";"prey";"blue";35;"survived";"";"";NA;NA;"";"specialist"
"171";7;"db";"prey";"red";47;"survived";"";"";3;NA;"";"generalist"
"172";7;"ae";"prey";"";0;"killed";"";"";NA;NA;"";NA
"173";7;"ft2";"apex";"";4;"survived";"";"";9;NA;"";NA
"174";7;"ss";"prey";"blue";0;"killed";"ft2";"";NA;NA;"";NA
"175";7;"th";"apex";"";3;"survived";"";"";NA;NA;"";NA
"176";7;"eb";"prey";"blue";5;"killed";"th";"";13;NA;"";"specialist"
"177";7;"gb2";"prey";"red";55;"survived";"";"lm";NA;NA;"";NA
"178";8;"ae";"prey";"red";2;"killed";"rd";"";NA;NA;"";"specialist"
"179";8;"gb2";"prey";"red";2;"killed";"rd";"";NA;NA;"";NA
"180";8;"fb";"prey";"blue";20;"killed";"cc";"";NA;NA;"";"specialist"
"181";8;"eb";"prey";"red";22;"killed";"mwb";"";NA;NA;"";"generalist"
"182";8;"cc";"meso";"";1;"killed";"mwb";"";1;NA;"";NA
"183";8;"mlsp";"prey";"red";50;"killed";"mwb";"cm";NA;NA;"";"generalist"
"184";8;"ma";"prey";"blue";15;"killed";"mwb";"";NA;NA;"";"specialist"
"185";8;"ak";"prey";"blue";20;"survived";"";"pl";NA;NA;"";"specialist"
"186";8;"mlg";"prey";"red";9;"killed";"mwb";"";NA;NA;"";"generalist"
"187";8;"th";"prey";"blue";45;"survived";"";"";NA;NA;"";"specialist"
"188";8;"sg";"prey";"red";45;"survived";"";"";NA;NA;"";"generalist"
"189";8;"cm";"prey";"red";50;"survived";"";"mlsp";NA;NA;"";"generalist"
"190";8;"ft2";"prey";"red";55;"killed";"mwb";"";NA;NA;"";"generalist"
"191";8;"pl";"prey";"red";51;"survived";"";"ft1";NA;NA;"also mated with akiko kato even though it's not allowed to mate twice";"generalist"
"192";8;"mwb";"apex";"";8;"survived";"";"";18;NA;"";NA
"193";8;"ft1";"prey";"red";53;"survived";"";"pl";NA;NA;"";"generalist"
"194";8;"fdb";"prey";"red";53;"survived";"";"";NA;NA;"";"generalist"
"195";9;"eb";"prey";"red";8;"killed";"pl";"";NA;NA;"";"generalist"
"196";9;"ae";"prey";"red";17;"killed";"db";"";NA;NA;"";"generalist"
"197";9;"aa";"prey";"blue";35;"killed";"lm";"";NA;NA;"";"specialist"
"198";9;"cg";"prey";"blue";55;"survived";"";"ak";NA;NA;"";"specialist"
"199";9;"ma";"prey";"blue";25;"killed";"db";"";NA;NA;"";"specialist"
"200";9;"nf";"prey";"red";51;"";"";"mwb";NA;NA;"";"generalist"
"201";9;"mwb";"prey";"red";51;"survived";"";"nf";NA;NA;"";"generalist"
"202";8;"gb1";"prey";"blue";52;"survived";"";"dg";NA;NA;"";"generalist"
"203";8;"dg";"prey";"blue";52;"survived";"";"gb1";NA;NA;"";NA
"204";9;"rd";"prey";"blue";55;"killed";"cm";"";NA;NA;"written 50 points in Pierre's notebook";NA
"205";9;"db";"meso";"";2;"killed";"";"";5;NA;"";NA
"206";9;"lm";"apex";"";8;"survived";"";"";NA;NA;"";NA
"207";9;"gb1";"prey";"red";54;"survived";"";"dg";NA;NA;"";"generalist"
"208";6;"cm";"prey";"red";30;"killed";"em";"";NA;NA;"";"generalist"
"209";6;"ft1";"meso";"";3;"killed";"em";"";4;NA;"";NA
"210";6;"gd";"prey";"blue";0;"killed";"ft1";"";NA;NA;"";NA
"211";6;"gb2";"prey";"red";2;"killed";"em";"";NA;NA;"";NA
"212";6;"rd";"prey";"blue";50;"killed";"em";"";NA;NA;"";NA
"213";6;"dg";"prey";"blue";50;"survived";"";"db";NA;NA;"";NA
"214";6;"db";"prey";"red";50;"survived";"";"dg";NA;4;"";"generalist"
"215";6;"ae";"prey";"blue";30;"survived";"";"";NA;NA;"";"specialist"
"216";6;"aa";"prey";"blue";50;"survived";"";"lm";NA;NA;"";"specialist"
"217";6;"pl";"prey";"red";56;"survived";"";"";NA;NA;"";"generalist"
"218";6;"lm";"prey";"blue";55;"survived";"";"aa";NA;NA;"";"specialist"
"219";6;"ma";"prey";"blue";54;"survived";"";"";NA;NA;"";"generalist"
"220";6;"cc";"prey";"blue";50;"survived";"";"fdb";NA;NA;"";"specialist"
"221";7;"cg";"prey";"blue";20;"killed";"ft2";"";NA;NA;"";"generalist"
"222";7;"pl";"prey";"red";0;"killed";"rd";"";NA;NA;"";"specialist"
"223";7;"gd";"prey";"blue";35;"killed";"dg";"";NA;NA;"";"specialist"
"224";8;"cg";"prey";"red";5;"killed";"mwb";"";NA;NA;"";"specialist"
"225";8;"aa";"prey";"blue";25;"killed";"mwb";"";NA;NA;"";"generalist"
"226";8;"ss";"prey";"blue";45;"killed";"rd";"";NA;NA;"";NA
"227";8;"em";"prey";"blue";30;"survived";"";"";NA;1;"";"specialist"
"228";8;"rd";"apex";"apex";3;"survived";"";"";9;NA;"";NA
"229";8;"lm";"prey";"blue";35;"survived";"";"";NA;NA;"";"specialist"
"230";8;"db";"prey";"red";52;"survived";"";"ir";NA;1;"";"generalist"
"231";8;"gd";"prey";"blue";25;"starved";"";"";NA;NA;"";"specialist"
"232";9;"cm";"prey";"red";18;"killed";"ss";"";NA;NA;"";"generalist"
"233";9;"gd";"prey";"blue";25;"killed";"ft1";"";NA;NA;"";"specialist"
"234";9;"mlsp";"prey";"red";18;"killed";"ft1";"";NA;NA;"";"generalist"
"235";9;"th";"prey";"blue";10;"killed";"ft1";"";NA;NA;"";"specialist"
"236";9;"fb";"prey";"blue";20;"killed";"lm";"";NA;NA;"";"specialist"
"237";9;"pl";"meso";"";1;"killed";"lm";"";5;NA;"";NA
"238";9;"ft2";"prey";"red";0;"killed";"ft1";"";NA;NA;"";NA
"239";9;"sg";"prey";"blue";0;"killed";"ft1";"";NA;NA;"";NA
"240";9;"em";"prey";"blue";45;"killed";"ft1";"";NA;NA;"";"specialist"
"241";9;"ss";"apex";"";1;"";"";"";11;NA;"";NA
"242";9;"ft1";"apex";"";6;"";"";"";19;NA;"";NA
"243";9;"dg";"prey";"blue";55;"survived";"";"gb1";NA;NA;"";NA
"244";9;"gb2";"prey";"red";42;"survived";"";"";NA;NA;"";NA
"245";9;"cc";"prey";"red";42;"killed";"lm";"";NA;NA;"";"generalist"
"246";9;"ak";"prey";"red";61;"killed";"lm";"cg";NA;NA;"";"generalist"
"247";9;"ir";"prey";"blue";35;"survived";"";"";NA;NA;"";"specialist"
"248";9;"fdb";"prey";"blue";17;"killed";"lm";"";NA;NA;"";"specialist"
